"новая позиция1Ноутбук HP 250 G8 Intel Celeron N4020 (1.10-2.80GHz), 8GB DDR4, 240GB SSD, Intel UHD Graphics 600, 15.6""HD LED, WiFi, Bluetooth, LAN, DOS, бесшумный, серый(*id 12)https://www.link.kg/catalog/1/41506390",22845.9 ⊆ ,253 $
"Acer TravelMate TMB118-M Black Intel Quad Core N4120 (up to 2.6Ghz), 4GB, 64GB eMMC, Intel HD Graphics, 11.6"" LED, WiFi, BT, Cam, Eng-Rushttps://www.link.kg/catalog/1/41375141",23929.5 ⊆ ,265 $
"Lenovo IP3 Celeron N4020 1.1-2.8GHz,4GB,SSD 240GB,15.6"" FHD,RUS,DOS HDMI, BLACKhttps://www.link.kg/catalog/1/41503190",23568.3 ⊆ ,261 $
"Notebook YEPO Silver Intel Quad Core J3455 (up to 2.3Ghz), 8GB, 256GB SSD, Intel HD Graphics, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, HD WebCam, UltraSlim, Eng-Rushttps://www.link.kg/catalog/1/41373540",24381 ⊆ ,270 $
"Ноутбук Lenovo Ideapad IP3 Intel Celeron N4020, 8GB, 500GB SSD m.2 NVMe, 15.6"" (1920X1080) FULL HD IPS, WiFi, Bluetooth, DOS, Platinum Grey [81WQ00Q7AK](*id 12)https://www.link.kg/catalog/1/41506384",24200.4 ⊆ ,268 $
"Lenovo Ideapad V14 Iron Gray Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 128GB SSD, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374254",25103.4 ⊆ ,278 $
"Notebook YEPO Silver Intel Quad Core J3455 (up to 2.3Ghz), 8GB, 512GB SSD, Intel HD Graphics, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, HD WebCam, UltraSlim, Eng-Rushttps://www.link.kg/catalog/1/41373463",25284 ⊆ ,280 $
"Ноутбук ASUS-X543M, Intel N4020, DDR4 4GB, 1TB, 15.6"", DVDRW, 1B-Star Grey, Win10, Rus+Enghttps://www.link.kg/catalog/1/41483613",27090 ⊆ ,300 $
"Lenovo Ideapad V14 Iron Gray Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 256GB M.2 NVMe PCIe, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374252",25825.8 ⊆ ,286 $
"Lenovo IdeaPad 3 15IGL05 (81WQ00JBRK) Intel Pentium N5030 (Quard 4 ядра, 4 потока up to 3.1Ghz), 15.6"" LED FULL HD (1920 x 1080) IPS, 8GB, 1TB, Intel HD Graphics 605, Wi-Fi, BT5.0, Cam, DOS, Eng-Rus, PLATINUM GREYhttps://www.link.kg/catalog/1/41504548",26999.7 ⊆ ,299 $
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 500GB, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374242",26187 ⊆ ,290 $
"Ноутбук Gateway ULTRA SLIM i3-1115G4 (up to 4.1Ghz), 4GB, 128GB SSD M.2, HD Graphics 620, 15.6"" FULL HD LED, WiFi, BT, Cam, Win11, чехол и мышь в комплекте, ярко голубой [GWNC31514-BK](*id 12)https://www.link.kg/catalog/1/41506279",25735.5 ⊆ ,285 $
"Lenovo V14 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 120GB,14""HD,RUS,DOS HDMI, IRON GRAY ( СЦ)https://www.link.kg/catalog/1/41503212",25916.1 ⊆ ,287 $
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374243",26638.5 ⊆ ,295 $
"Lenovo V14 Celeron DC N4020 1.1-2.8GHz,4GB,1TB,14""HD,RUS,DOS HDMI, IRON GRAY ( СЦ)https://www.link.kg/catalog/1/41503211",26096.7 ⊆ ,289 $
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 128GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374375",26638.5 ⊆ ,295 $
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374373",26819.1 ⊆ ,297 $
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 500GB, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374233",27090 ⊆ ,300 $
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 128GB SSD, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374248",27090 ⊆ ,300 $
"Ноутбук Gateway ULTRA SLIM i3-1115G4 (up to 4.1Ghz), 4GB, 512GB SSD M.2 sata, HD Graphics 620, 15.6"" FULL HD LED, WiFi, BT, Cam, Win11, чехол и мышь в комплекте, серый [GWNC31514-BK](*id 12)https://www.link.kg/catalog/1/41506277",26548.2 ⊆ ,294 $
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB, 500GB, 15.6""FHD RUS, HDMI, ABYSS BLUEhttps://www.link.kg/catalog/1/41503192",26909.4 ⊆ ,298 $
"Ноутбук ASUS-X543M, Intel N4020, DDR4 4GB, SSD-120GB, 15.6"", DVDRW, 1B-Star Grey, Rus+Enghttps://www.link.kg/catalog/1/41483611",28896 ⊆ ,320 $
"Lenovo V15 i3-10110U 2.1-4.1 GHz,4GB,1TB,15.6""HD,RUS,DOS HDMI, IRON GRAYhttps://www.link.kg/catalog/1/41503176",26999.7 ⊆ ,299 $
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 240GB SSD, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374249",27541.5 ⊆ ,305 $
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB, SSD 120GB, 15.6""FHD RUS, HDMI, ABYSS BLUEhttps://www.link.kg/catalog/1/41503193",27090 ⊆ ,300 $
"Ноутбук ASUS-X543M, Intel N4020, DDR4 4GB, SSD-256GB, 15.6"", DVDRW, 1B-Star Grey, Rus+Enghttps://www.link.kg/catalog/1/41483612",29347.5 ⊆ ,325 $
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 128GB SSD, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374240",27993 ⊆ ,310 $
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB, SSD 240GB, 15.6""FHD RUS, HDMI, ABYSS BLUEhttps://www.link.kg/catalog/1/41503194",27541.5 ⊆ ,305 $
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB, 128GB SSD, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374339",28083.3 ⊆ ,311 $
